,cpf,mercado,produto
57588,38232115874,Mes,banana
92085,38617360801,Broa de Açúcar,uva
70736,30552640883,Mes,pera
29195,33324127874,Plus,pera
26549,39639925810,Mes,banana
67919,32474360816,Broa de Açúcar,uva
78761,39375061876,Plus,maçã
67909,30462465870,Plus,pera
65299,31145103880,Plus,pera
953,32255572850,Plus,maçã
16158,32294129822,Mes,maçã
49191,37083083878,Broa de Açúcar,maçã
4587,30617411867,Mes,banana
92148,38023461818,Plus,banana
38347,35113200891,Plus,uva
86193,37822157884,Mes,uva
89809,38085196816,Plus,pera
77497,34620896845,Mes,banana
3290,36734187853,Plus,uva
31273,32145200835,Plus,uva
9956,39385543806,Plus,banana
69584,31366147804,Broa de Açúcar,maçã
51152,32459989881,Mes,uva
32906,35914511852,Plus,banana
41156,31795880805,Mes,banana
953,32255572850,Plus,pera
18567,39286103840,Plus,pera
77344,38023399837,Plus,banana
96182,32464372897,Plus,uva
87806,30060398825,Plus,pera
47377,32601669802,Plus,banana
70758,35378086825,Plus,maçã
4297,39179111831,Mes,uva
34986,31756562857,Broa de Açúcar,maçã
88133,32324073820,Mes,banana
67006,31771576855,Broa de Açúcar,uva
99286,36772573870,Mes,maçã
4297,39179111831,Plus,banana
953,32255572850,Mes,banana
16158,32294129822,Plus,uva
40804,38278086850,Mes,uva
49191,37083083878,Broa de Açúcar,banana
16158,32294129822,Plus,banana
57588,38232115874,Broa de Açúcar,banana
34447,32241633801,Broa de Açúcar,banana
26549,39639925810,Mes,pera
91336,33336928800,Broa de Açúcar,maçã
91126,37540640880,Mes,uva
78592,37891988897,Mes,maçã
9875,32206448807,Broa de Açúcar,banana
51483,33461325872,Mes,pera
78147,33576161813,Broa de Açúcar,uva
41998,32447851820,Mes,pera
97438,32300383802,Broa de Açúcar,uva
98107,31797190873,Plus,banana
94579,35094486853,Plus,uva
52870,39248397867,Mes,pera
95388,37380759841,Plus,pera
51483,33461325872,Broa de Açúcar,maçã
81896,38686654800,Broa de Açúcar,uva
9595,39106522807,Mes,pera
8801,33325664822,Plus,uva
47377,32601669802,Broa de Açúcar,banana
68059,37126598815,Plus,pera
79460,36021575806,Mes,pera
13270,31938819888,Broa de Açúcar,maçã
64248,36158702803,Mes,maçã
15731,33887237889,Broa de Açúcar,maçã
87806,30060398825,Broa de Açúcar,banana
24881,37629570880,Broa de Açúcar,banana
16888,39844500877,Plus,uva
67006,31771576855,Broa de Açúcar,uva
79387,33717499831,Mes,uva
47315,39549708802,Broa de Açúcar,banana
66319,31579980805,Broa de Açúcar,maçã
35085,38452940866,Plus,banana
43867,36366758859,Plus,uva
18940,37660353802,Broa de Açúcar,uva
93885,38766987822,Mes,uva
953,32255572850,Plus,pera
10118,30494429801,Broa de Açúcar,banana
87806,30060398825,Broa de Açúcar,maçã
4587,30617411867,Broa de Açúcar,maçã
14810,32836494808,Plus,banana
42823,31642889806,Plus,uva
95300,37008873883,Broa de Açúcar,banana
63967,34608848860,Plus,maçã
91336,33336928800,Mes,pera
4327,33999128895,Mes,uva
25386,31590098820,Mes,banana
98011,31824353880,Broa de Açúcar,pera
78147,33576161813,Mes,banana
87310,39092652865,Broa de Açúcar,maçã
92369,31620324822,Mes,banana
51483,33461325872,Plus,banana
49191,37083083878,Mes,uva
98173,33983357806,Plus,pera
38347,35113200891,Plus,uva
2687,30966062850,Plus,maçã
36413,30769095844,Plus,banana
29195,33324127874,Plus,pera
89184,34414924804,Mes,uva
16158,32294129822,Mes,pera
18567,39286103840,Plus,pera
89809,38085196816,Broa de Açúcar,pera
34447,32241633801,Broa de Açúcar,pera
72394,32479421813,Mes,uva
89809,38085196816,Plus,uva
86193,37822157884,Plus,maçã
4297,39179111831,Plus,maçã
43867,36366758859,Plus,banana
70898,31497443857,Plus,uva
44944,38760611804,Plus,uva
21868,32101997878,Broa de Açúcar,pera
98173,33983357806,Plus,banana
41092,35535533831,Mes,uva
4327,33999128895,Broa de Açúcar,banana
95300,37008873883,Broa de Açúcar,pera
9875,32206448807,Mes,maçã
37530,39655543870,Broa de Açúcar,pera
4684,33110482886,Broa de Açúcar,pera
18567,39286103840,Broa de Açúcar,banana
31273,32145200835,Broa de Açúcar,banana
44944,38760611804,Mes,banana
95300,37008873883,Mes,pera
32602,39080508802,Broa de Açúcar,banana
28035,35396027800,Mes,banana
80876,30061162833,Mes,pera
43112,30248659855,Mes,uva
63945,32825286800,Plus,banana
26697,38194757886,Plus,uva
21001,39118478824,Mes,pera
99279,32817575881,Plus,banana
32906,35914511852,Mes,pera
2687,30966062850,Plus,maçã
49191,37083083878,Plus,uva
95846,31695687876,Broa de Açúcar,uva
43112,30248659855,Plus,banana
44944,38760611804,Mes,maçã
92369,31620324822,Mes,pera
68337,35745115823,Mes,uva
44377,34245454814,Plus,pera
90282,39490165891,Mes,uva
81659,34014253821,Plus,pera
78147,33576161813,Mes,banana
11872,30621866822,Plus,maçã
67435,30610304844,Mes,maçã
90603,38922839821,Mes,banana
2687,30966062850,Broa de Açúcar,maçã
74916,32699967807,Mes,uva
28035,35396027800,Plus,banana
21868,32101997878,Broa de Açúcar,uva
67909,30462465870,Plus,maçã
75528,30403874807,Plus,maçã
75607,33304169806,Broa de Açúcar,pera
44075,35645621840,Mes,uva
42823,31642889806,Plus,uva
80832,32933350807,Plus,uva
77497,34620896845,Mes,banana
6654,32657827861,Mes,maçã
45007,31037723864,Mes,pera
98011,31824353880,Broa de Açúcar,maçã
91126,37540640880,Broa de Açúcar,pera
78411,32858558868,Plus,banana
4297,39179111831,Plus,banana
92893,33793904881,Mes,pera
9239,38862226837,Broa de Açúcar,pera
84524,36135911899,Mes,pera
68337,35745115823,Plus,banana
34447,32241633801,Broa de Açúcar,maçã
70219,30328179868,Mes,pera
34447,32241633801,Broa de Açúcar,uva
32602,39080508802,Broa de Açúcar,uva
92893,33793904881,Plus,banana
87806,30060398825,Mes,maçã
9956,39385543806,Plus,banana
43118,30955837880,Mes,pera
6654,32657827861,Mes,pera
99279,32817575881,Broa de Açúcar,maçã
94458,35713381897,Plus,maçã
21001,39118478824,Broa de Açúcar,pera
96822,32116965802,Mes,banana
85219,30696790807,Plus,pera
2870,31966594887,Plus,uva
4327,33999128895,Mes,maçã
26549,39639925810,Mes,maçã
8801,33325664822,Broa de Açúcar,uva
41998,32447851820,Plus,uva
86193,37822157884,Mes,maçã
67006,31771576855,Mes,uva
16158,32294129822,Plus,banana
32906,35914511852,Plus,uva
67909,30462465870,Mes,banana
25386,31590098820,Plus,pera
98011,31824353880,Mes,banana
70736,30552640883,Mes,uva
23646,37483373881,Broa de Açúcar,banana
91126,37540640880,Mes,banana
79460,36021575806,Broa de Açúcar,uva
50385,34177725838,Broa de Açúcar,banana
1453,32698896825,Mes,maçã
44247,34944588801,Broa de Açúcar,pera
25376,38875632804,Broa de Açúcar,banana
31273,32145200835,Broa de Açúcar,uva
68168,34761282886,Plus,uva
79387,33717499831,Plus,pera
95919,33446371850,Mes,pera
43118,30955837880,Broa de Açúcar,uva
30404,38118937852,Broa de Açúcar,maçã
4297,39179111831,Plus,maçã
32906,35914511852,Mes,uva
86568,31867812800,Broa de Açúcar,maçã
56371,31742487874,Broa de Açúcar,pera
79460,36021575806,Mes,uva
42870,36461999892,Plus,banana
70736,30552640883,Plus,banana
1453,32698896825,Mes,banana
13161,32162287897,Plus,pera
3749,32269915828,Plus,pera
29899,31567093876,Mes,banana
98173,33983357806,Plus,pera
18567,39286103840,Mes,uva
79460,36021575806,Mes,maçã
78411,32858558868,Mes,banana
81896,38686654800,Plus,banana
41156,31795880805,Mes,banana
92085,38617360801,Broa de Açúcar,banana
78411,32858558868,Broa de Açúcar,maçã
31115,34526179809,Broa de Açúcar,uva
26426,30478296835,Broa de Açúcar,pera
28035,35396027800,Plus,banana
89184,34414924804,Plus,pera
68059,37126598815,Mes,pera
18940,37660353802,Mes,uva
36413,30769095844,Broa de Açúcar,maçã
92893,33793904881,Broa de Açúcar,banana
57588,38232115874,Mes,maçã
13595,39349746867,Broa de Açúcar,banana
18567,39286103840,Broa de Açúcar,maçã
