,cpf,nome,produto,preco
90524,37706842819,Plus,maçã,2
30379,37353484837,Broa de Açúcar,maçã,2
51476,31004054807,Plus,uva,7
31794,32512837823,Mes,uva,7
42659,32543861831,Plus,uva,7
94327,38605930802,Plus,maçã,2
97559,35381822804,Broa de Açúcar,maçã,2
74390,33599124892,Mes,pera,3
66265,32159874817,Mes,uva,7
78202,32557890871,Mes,uva,7
69255,36883156852,Mes,maçã,2
720,35607912868,Mes,pera,3
62439,35938168813,Broa de Açúcar,banana,1
24243,35233640864,Broa de Açúcar,maçã,2
36729,35505011888,Mes,banana,1
6626,39183777849,Mes,maçã,2
58140,38251349893,Plus,banana,1
91433,34128659827,Broa de Açúcar,uva,7
37530,39655543870,Mes,pera,3
89809,38085196816,Mes,pera,3
31796,35159472800,Plus,banana,1
46408,37773214867,Mes,maçã,2
18283,30546192815,Broa de Açúcar,pera,3
64248,36158702803,Plus,uva,7
30379,37353484837,Mes,pera,3
83377,33908213843,Plus,pera,3
11221,30298992841,Mes,uva,7
14846,31490602810,Plus,maçã,2
48879,33635232890,Plus,uva,7
82897,31851754849,Broa de Açúcar,maçã,2
5804,35681744809,Mes,uva,7
5756,38093998845,Plus,maçã,2
70418,32245435826,Plus,maçã,2
32807,31939883830,Mes,maçã,2
93687,31032657863,Broa de Açúcar,uva,7
68587,32282919874,Plus,pera,3
44075,35645621840,Plus,maçã,2
12949,31781804869,Plus,maçã,2
88339,36488723898,Plus,uva,7
796,39060435842,Plus,banana,1
62945,38946050810,Mes,banana,1
96,32118142803,Plus,pera,3
76490,37396358868,Broa de Açúcar,pera,3
31796,35159472800,Broa de Açúcar,pera,3
18283,30546192815,Broa de Açúcar,banana,1
23617,38937032848,Broa de Açúcar,pera,3
46253,39243896830,Plus,maçã,2
90216,30045741875,Plus,uva,7
8329,39143983880,Mes,maçã,2
51536,32793703885,Mes,uva,7
62945,38946050810,Plus,banana,1
43460,32384370898,Plus,banana,1
21556,35031727853,Mes,uva,7
83426,39767917845,Plus,uva,7
87908,30937094820,Mes,pera,3
37530,39655543870,Plus,banana,1
89409,30647186810,Broa de Açúcar,pera,3
81262,32364083834,Plus,banana,1
22553,37594575849,Broa de Açúcar,pera,3
96,32118142803,Mes,maçã,2
12232,39621128803,Plus,banana,1
99276,34969741840,Broa de Açúcar,maçã,2
93135,38779238874,Plus,pera,3
71984,36982435806,Mes,uva,7
48911,34418212892,Plus,uva,7
79815,38020401806,Broa de Açúcar,uva,7
79914,34029758827,Mes,banana,1
17166,31564113884,Broa de Açúcar,maçã,2
51476,31004054807,Mes,pera,3
79302,31541266862,Mes,pera,3
31796,35159472800,Mes,pera,3
45090,31634197801,Plus,maçã,2
17161,30074887882,Broa de Açúcar,pera,3
87908,30937094820,Broa de Açúcar,maçã,2
43384,39321169849,Plus,maçã,2
31794,32512837823,Plus,banana,1
56044,34110615887,Plus,maçã,2
70480,34558208839,Plus,uva,7
24483,32477452894,Mes,pera,3
37530,39655543870,Mes,maçã,2
62945,38946050810,Broa de Açúcar,banana,1
90145,39114690802,Mes,pera,3
88709,38643677868,Broa de Açúcar,uva,7
3979,35797992825,Broa de Açúcar,pera,3
80005,32938248890,Plus,banana,1
90524,37706842819,Broa de Açúcar,uva,7
22857,36769458837,Plus,pera,3
22562,31291469893,Mes,uva,7
92834,31242340815,Plus,pera,3
42823,31642889806,Broa de Açúcar,banana,1
23303,32112812823,Plus,banana,1
22562,31291469893,Broa de Açúcar,banana,1
60244,38825970897,Broa de Açúcar,uva,7
94327,38605930802,Plus,banana,1
90145,39114690802,Mes,uva,7
80975,32766185836,Mes,uva,7
66,30721762808,Mes,pera,3
14846,31490602810,Mes,uva,7
72394,32479421813,Mes,banana,1
83426,39767917845,Broa de Açúcar,banana,1
72394,32479421813,Mes,pera,3
92407,30929873815,Mes,banana,1
3678,36762255892,Plus,banana,1
16948,35496603838,Mes,banana,1
79302,31541266862,Plus,pera,3
21327,35722129879,Plus,banana,1
88709,38643677868,Broa de Açúcar,maçã,2
11789,31249581877,Broa de Açúcar,uva,7
83377,33908213843,Plus,banana,1
47404,38172129840,Mes,uva,7
1013,36222192890,Mes,uva,7
21327,35722129879,Broa de Açúcar,banana,1
8329,39143983880,Mes,maçã,2
27807,38906114869,Plus,pera,3
55524,37832513896,Mes,banana,1
56277,38069818840,Broa de Açúcar,pera,3
32807,31939883830,Mes,pera,3
98435,31612130844,Plus,maçã,2
77376,31708557865,Mes,uva,7
55098,39328009820,Broa de Açúcar,banana,1
23530,37924765840,Plus,banana,1
89857,38853118873,Broa de Açúcar,banana,1
34255,38246362801,Mes,maçã,2
54321,32468502833,Mes,pera,3
71984,36982435806,Broa de Açúcar,uva,7
25823,32395134805,Mes,pera,3
13084,32411159846,Mes,pera,3
26741,34265854800,Broa de Açúcar,uva,7
42659,32543861831,Broa de Açúcar,uva,7
52232,39956187828,Plus,uva,7
88709,38643677868,Plus,maçã,2
44044,31091226857,Mes,uva,7
23497,39240391860,Broa de Açúcar,maçã,2
56277,38069818840,Plus,maçã,2
11989,39401368830,Mes,maçã,2
74390,33599124892,Broa de Açúcar,banana,1
79914,34029758827,Mes,uva,7
24345,33613889889,Plus,pera,3
22166,38824903819,Mes,maçã,2
83426,39767917845,Mes,pera,3
46253,39243896830,Mes,uva,7
45806,30888909802,Broa de Açúcar,uva,7
87908,30937094820,Mes,pera,3
89809,38085196816,Mes,maçã,2
82897,31851754849,Mes,pera,3
78202,32557890871,Plus,maçã,2
36729,35505011888,Broa de Açúcar,banana,1
47404,38172129840,Mes,pera,3
5756,38093998845,Mes,pera,3
78202,32557890871,Broa de Açúcar,uva,7
42659,32543861831,Plus,uva,7
27285,30683083805,Plus,uva,7
71984,36982435806,Broa de Açúcar,banana,1
93687,31032657863,Broa de Açúcar,uva,7
78202,32557890871,Mes,uva,7
30451,35032984876,Mes,pera,3
79302,31541266862,Mes,uva,7
31228,31343837804,Plus,pera,3
8551,32194543805,Plus,uva,7
83315,31458786897,Mes,banana,1
82897,31851754849,Plus,uva,7
24483,32477452894,Plus,banana,1
88339,36488723898,Mes,uva,7
81230,39228065893,Plus,maçã,2
88709,38643677868,Mes,pera,3
46253,39243896830,Mes,banana,1
44988,39625356835,Broa de Açúcar,maçã,2
31228,31343837804,Broa de Açúcar,pera,3
97559,35381822804,Plus,maçã,2
26328,35643616858,Broa de Açúcar,uva,7
90621,35646486823,Mes,banana,1
40679,35109798850,Plus,maçã,2
98435,31612130844,Plus,banana,1
18283,30546192815,Broa de Açúcar,banana,1
44002,34377246810,Broa de Açúcar,pera,3
99276,34969741840,Broa de Açúcar,pera,3
43858,30753498871,Mes,uva,7
83364,34046125829,Mes,banana,1
56544,35358298878,Broa de Açúcar,uva,7
2860,39841469812,Plus,pera,3
81230,39228065893,Broa de Açúcar,banana,1
93687,31032657863,Plus,banana,1
90259,39430756800,Mes,banana,1
88709,38643677868,Broa de Açúcar,uva,7
796,39060435842,Broa de Açúcar,pera,3
12232,39621128803,Plus,banana,1
50385,34177725838,Plus,banana,1
27807,38906114869,Broa de Açúcar,banana,1
80109,38647585801,Plus,uva,7
37530,39655543870,Broa de Açúcar,uva,7
77376,31708557865,Broa de Açúcar,maçã,2
55524,37832513896,Plus,maçã,2
88339,36488723898,Plus,banana,1
29759,31464506825,Broa de Açúcar,maçã,2
89857,38853118873,Broa de Açúcar,uva,7
21327,35722129879,Broa de Açúcar,uva,7
11257,35177132870,Broa de Açúcar,pera,3
90621,35646486823,Plus,banana,1
66,30721762808,Mes,uva,7
52232,39956187828,Plus,banana,1
11221,30298992841,Plus,maçã,2
22562,31291469893,Mes,uva,7
91433,34128659827,Broa de Açúcar,uva,7
3487,34670036807,Mes,pera,3
93135,38779238874,Plus,pera,3
30451,35032984876,Broa de Açúcar,maçã,2
610,33948247870,Plus,uva,7
13120,31289694850,Broa de Açúcar,pera,3
77376,31708557865,Plus,uva,7
66651,31563287820,Plus,pera,3
36729,35505011888,Plus,uva,7
8551,32194543805,Mes,pera,3
34853,39479641887,Plus,pera,3
78202,32557890871,Plus,pera,3
83377,33908213843,Broa de Açúcar,maçã,2
44988,39625356835,Broa de Açúcar,pera,3
12949,31781804869,Plus,pera,3
20357,37624326868,Broa de Açúcar,maçã,2
17166,31564113884,Plus,pera,3
42472,39947252833,Broa de Açúcar,maçã,2
44030,30263685802,Broa de Açúcar,banana,1
92407,30929873815,Mes,maçã,2
83478,32514000882,Broa de Açúcar,banana,1
93687,31032657863,Mes,pera,3
55886,30959832807,Broa de Açúcar,banana,1
74390,33599124892,Mes,pera,3
24345,33613889889,Plus,pera,3
89409,30647186810,Mes,maçã,2
